fqid,text_fqid,session_id,index,elapsed_time,event_name,name,level,page,room_coor_x,room_coor_y,screen_coor_x,screen_coor_y,hover_duration,text,room_fqid,level_group,elapsed_time_diff
glasses,tunic.historicalsociety.cage.glasses.beforeteddy,20944,1313,31491,1,1,8,1,31345,30685,824,520,1,1,1,1,3728
lockeddoor,tunic.historicalsociety.cage.lockeddoor,18527,1363,26811,1,1,2,1,26391,26807,936,513,1,1,1,1,3583
need_glasses,tunic.historicalsociety.cage.need_glasses,401,378,593,1,1,2,1,591,593,309,156,1,1,1,1,498
teddy,tunic.historicalsociety.cage.teddy.trapped,23073,1765,81994,1,1,3,1,78109,76595,1293,814,1,3,1,1,4374
unlockdoor,tunic.historicalsociety.cage.unlockdoor,23561,1760,81371,1,1,1,1,81676,82194,1109,812,1,4,1,1,3554
photo,tunic.historicalsociety.closet_dirty.photo,3262,1334,4561,1,1,9,1,4548,4536,703,318,1,1,1,1,2063
gramps,tunic.historicalsociety.collection_flag.gramps.flag,23562,2290,182866,1,1,1,1,109020,83060,1811,1558,1,11,1,1,7641
gramps,tunic.historicalsociety.collection_flag.gramps.recap,7973,1450,18256,1,1,1,1,13093,11726,736,423,1,2,1,1,3277
boss,tunic.historicalsociety.entry.boss.flag,23562,2103,116787,1,1,1,1,82729,80046,1372,1122,1,9,1,1,7381
boss,tunic.historicalsociety.entry.boss.flag_recap,3628,1289,8670,1,1,1,1,6444,6334,478,334,1,2,1,1,2381
groupconvo_flag,tunic.historicalsociety.entry.groupconvo_flag,23562,2367,202681,1,1,1,1,91353,90482,1965,1644,1,9,1,1,10430
wells,tunic.historicalsociety.entry.wells.flag,22738,1981,76173,1,1,1,1,74445,70945,1114,885,1,4,1,1,5711
wells,tunic.historicalsociety.entry.wells.flag_recap,3344,1067,5132,1,1,1,1,4986,4962,504,319,1,2,1,1,2171
archivist_glasses,tunic.historicalsociety.frontdesk.archivist_glasses.confrontation,23562,3217,251870,1,1,2,1,80835,8391,1993,1965,1,17,1,1,8612
archivist_glasses,tunic.historicalsociety.frontdesk.archivist_glasses.confrontation_recap,9506,1949,13203,1,1,3,1,7928,1718,551,580,1,1,1,1,4219
key,tunic.historicalsociety.frontdesk.key,23562,1281,23590,1,1,2,1,19534,2001,590,488,1,1,1,1,3671
outtolunch,tunic.historicalsociety.stacks.outtolunch,1897,659,2218,1,1,2,1,2136,2176,311,494,1,1,1,1,1380
worker,tunic.humanecology.frontdesk.worker.badger,2954,2100,14779,1,1,10,1,14242,1278,855,371,1,5,1,1,3237
block_nelson,tunic.library.frontdesk.block_nelson,942,636,1102,1,1,1,1,1097,1093,404,214,1,1,1,1,870
worker,tunic.library.frontdesk.worker.flag,23562,2630,139278,1,1,2,1,103123,51208,1560,1274,1,6,1,1,7302
worker,tunic.library.frontdesk.worker.flag_recap,3057,1331,4334,1,1,2,1,3903,2671,699,364,1,1,1,1,2568
worker,tunic.library.frontdesk.worker.nelson,23561,2837,162220,1,1,2,1,117658,81279,1884,1460,1,9,1,1,7605
worker,tunic.library.frontdesk.worker.nelson_recap,4306,1485,6090,1,1,2,1,5323,3810,583,406,1,1,1,1,3194
worker,tunic.library.frontdesk.worker.preflag,2365,1177,3810,1,1,8,1,3758,3539,494,339,1,1,1,1,2091
coffee,tunic.wildlife.center.coffee,23380,1465,23450,1,1,4,1,23369,22953,951,527,1,1,1,1,4748
crane_ranger,tunic.wildlife.center.crane_ranger.crane,23562,2884,426261,1,1,1,1,136337,117095,2789,2548,1,21,1,1,8667
expert,tunic.wildlife.center.expert.recap,15218,1925,29812,1,1,5,1,27474,27004,876,544,1,1,1,1,3924
expert,tunic.wildlife.center.expert.removed_cup,23562,2283,138848,1,1,1,1,111639,103212,1459,1208,1,6,1,1,6150
fox,tunic.wildlife.center.fox.concern,44,292,317,1,1,5,1,303,263,153,153,1,3,1,1,271
remove_cup,tunic.wildlife.center.remove_cup,23562,1457,23653,1,1,1,1,19590,19015,641,474,1,1,1,1,4988
wells,tunic.wildlife.center.wells.animals,23562,2083,95540,1,1,1,1,73619,67428,1380,929,1,8,1,1,5909
wells,tunic.wildlife.center.wells.animals2,7237,1545,15670,1,1,1,1,14112,13443,765,356,1,2,1,1,3382
wells,tunic.wildlife.center.wells.nodeer,23562,3005,369586,1,1,1,1,119647,104999,2824,2394,1,25,1,1,10512
wells,tunic.wildlife.center.wells.nodeer_recap,11218,2291,38339,1,1,4,1,26233,25389,1026,613,1,2,1,1,3945
