fqid,text_fqid,session_id,index,elapsed_time,event_name,name,level,page,room_coor_x,room_coor_y,screen_coor_x,screen_coor_y,hover_duration,text,room_fqid,level_group,elapsed_time_diff
trigger_coffee,tunic.historicalsociety.closet_dirty.trigger_coffee,23562,1044,45407,1,1,1,1,45750,43877,1018,611,1,3,1,1,6372
trigger_scarf,tunic.historicalsociety.closet_dirty.trigger_scarf,23562,1496,105981,1,1,1,1,109693,83919,1503,1068,1,6,1,1,5990
what_happened,tunic.historicalsociety.closet_dirty.what_happened,23562,1617,97777,1,1,1,1,71660,58705,1464,1053,1,7,1,1,7795
archivist,tunic.historicalsociety.frontdesk.archivist.foundtheodora,1571,1010,6856,1,1,1,1,6293,827,396,432,1,3,1,1,2155
archivist,tunic.historicalsociety.frontdesk.archivist.have_glass,23562,2335,298500,1,1,1,1,168524,9961,2562,2310,1,18,1,1,7776
archivist,tunic.historicalsociety.frontdesk.archivist.have_glass_recap,8032,1063,27829,1,1,3,1,10478,2353,566,632,1,4,1,1,3421
archivist,tunic.historicalsociety.frontdesk.archivist.hello,23562,1630,118606,1,1,1,1,97731,5383,1372,1197,1,9,1,1,6126
archivist,tunic.historicalsociety.frontdesk.archivist.need_glass_0,8139,580,8160,1,1,1,1,4740,1128,434,343,1,1,1,1,2767
archivist,tunic.historicalsociety.frontdesk.archivist.need_glass_1,3472,586,5808,1,1,1,1,2878,916,436,352,1,1,1,1,2612
archivist,tunic.historicalsociety.frontdesk.archivist.newspaper,23562,2474,357562,1,1,1,1,101299,10868,2587,2516,1,22,1,1,9505
archivist,tunic.historicalsociety.frontdesk.archivist.newspaper_recap,4111,830,5472,1,1,1,1,2438,1014,368,477,1,1,1,1,2388
block_magnify,tunic.historicalsociety.frontdesk.block_magnify,6960,545,7622,1,1,1,1,7298,1128,537,496,1,1,1,1,2753
magnify,tunic.historicalsociety.frontdesk.magnify,23562,820,23326,1,1,1,1,21554,2188,647,617,1,1,1,1,4328
block,tunic.historicalsociety.stacks.block,3729,877,6082,1,1,1,1,5839,5787,708,547,1,1,1,1,2952
outtolunch,tunic.historicalsociety.stacks.outtolunch,2519,390,2794,1,1,1,1,2685,2741,285,523,1,1,1,1,1619
block_0,tunic.humanecology.frontdesk.block_0,3161,515,4047,1,1,1,1,4042,723,766,301,1,1,1,1,1898
block_1,tunic.humanecology.frontdesk.block_1,13,13,13,1,1,1,1,13,13,13,13,1,1,1,1,13
worker,tunic.humanecology.frontdesk.worker.badger,11004,1407,51379,1,1,5,1,41623,3052,1193,699,1,5,1,1,4619
worker,tunic.humanecology.frontdesk.worker.intro,23561,2226,246180,1,1,1,1,175930,7953,2342,1895,1,15,1,1,7831
block_badge,tunic.library.frontdesk.block_badge,484,370,777,1,1,1,1,757,750,381,247,1,1,1,1,649
block_badge_2,tunic.library.frontdesk.block_badge_2,376,313,479,1,1,1,1,476,476,287,173,1,1,1,1,430
worker,tunic.library.frontdesk.worker.droppedbadge,1694,545,2165,1,1,1,1,2159,1976,552,350,1,1,1,1,1631
worker,tunic.library.frontdesk.worker.hello,23560,2005,182799,1,1,1,1,127765,62332,1865,1555,1,11,1,1,7180
worker,tunic.library.frontdesk.worker.hello_short,2282,751,6090,1,1,1,1,4597,2367,664,348,1,2,1,1,2277
worker,tunic.library.frontdesk.worker.preflag,200,246,290,1,1,1,1,291,283,177,146,1,1,1,1,275
worker,tunic.library.frontdesk.worker.wells,23562,2072,184434,1,1,1,1,125687,85440,1930,1599,1,11,1,1,8606
worker,tunic.library.frontdesk.worker.wells_recap,5457,1021,14166,1,1,1,1,10514,6205,631,466,1,2,1,1,4143
block_0,tunic.library.microfiche.block_0,568,432,985,1,1,1,1,978,488,304,348,1,1,1,1,859
